date: ,19-03-2020
expected end: ,30-05-2020,129
inflection point: ,26-03-2020,64
total cases: ,749535.9831072456
data: ,7,10,21,28,43,50,69,79,93,125,147,157,165,185,195,230,281,306,321,408,416,462,473,527,617,711,824,925,1020,1120,1273,1578,1943,2327,2659,3229,4154,5192,6655,8437,10170,12579,14734,17345,21094,25051,28972,32701,37705,44944,47411,64248,75117,86443,100494,116084,133808
date: ,20-03-2020
expected end: ,12-06-2020,142
inflection point: ,02-04-2020,71
total cases: ,1860062.5876841857
data: ,7,10,21,28,43,50,69,79,93,125,147,157,165,185,195,230,281,306,321,408,416,462,473,527,617,711,824,925,1020,1120,1273,1578,1943,2327,2659,3229,4154,5192,6655,8437,10170,12579,14734,17345,21094,25051,28972,32701,37705,44944,47411,64248,75117,86443,100494,116084,133808,161552
